W,team,L,W/L,GB
23,New York Liberty,4,.852,—
19,Connecticut Sun,7,.731,3.5
19,Minnesota Lynx,8,.704,4.0
17,Las Vegas Aces,9,.654,5.5
17,Seattle Storm,10,.630,6.0
15,Phoenix Mercury,13,.536,8.5
13,Indiana Fever,15,.464,10.5
11,Chicago Sky,16,.407,12.0
9,Atlanta Dream,17,.346,13.5
6,Dallas Wings,20,.231,16.5
6,Los Angeles Sparks,21,.222,17.0
6,Washington Mystics,21,.222,17.0
